lng,lat,count
116.47,39.84,24
116.46000000000001,39.84,33
116.46000000000001,39.87,376
116.46000000000001,39.88,328
116.45,39.88,227
116.61,39.92,169
116.63,39.910000000000004,32
116.62,39.910000000000004,23
116.45,39.87,156
116.52,39.92,234
116.27,39.89,115
116.45,39.92,131
116.47,39.83,22
116.43,39.83,40
116.28,39.82,76
116.28,39.79,17
116.44,39.94,19
116.44,39.93,14
116.34,39.97,7
116.48,39.92,208
116.44,39.84,110
116.57000000000001,39.9,180
116.58,39.89,11
116.60000000000001,39.89,53
116.60000000000001,39.88,14
116.61,39.88,2
116.23,39.92,22
116.23,39.93,6
116.26,39.9,13
116.25,39.9,10
116.59,39.910000000000004,201
116.51,39.81,8
116.68,39.910000000000004,4
116.63,39.9,48
116.64,39.9,28
116.41,40.04,33
116.5,39.93,99
116.88,39.71,2
116.66,39.88,136
116.56,39.910000000000004,33
116.55,39.910000000000004,145
116.45,39.9,275
116.44,39.89,17
116.44,39.9,89
116.41,40.06,62
116.31,39.88,15
116.14,39.72,11
116.13,39.71,11
116.41,40.08,25
116.49000000000001,39.96,103
116.45,39.910000000000004,173
116.64,39.65,23
116.63,39.65,36
116.64,39.89,89
116.63,39.89,40
116.21000000000001,39.84,7
116.2,39.82,13
116.47,39.980000000000004,90
116.46000000000001,39.980000000000004,48
116.48,39.97,142
116.45,39.95,33
116.57000000000001,39.65,6
116.5,39.79,31
116.37,39.980000000000004,17
116.38,39.980000000000004,31
116.47,40.0,30
116.58,39.910000000000004,90
116.3,39.83,35
116.29,39.81,25
116.47,39.89,289
116.48,39.89,148
116.43,39.93,46
116.65,39.83,9
116.63,39.84,9
116.69,39.86,11
116.33,39.77,33
116.33,39.75,16
116.34,39.75,10
116.34,39.76,10
116.42,39.86,41
116.5,39.92,159
116.47,39.93,162
116.4,40.17,5
116.4,40.2,1
116.42,39.83,46
116.41,39.84,6
116.3,39.980000000000004,16
116.3,39.97,4
116.48,39.99,214
116.4,39.99,63
116.4,39.980000000000004,43
116.39,39.85,36
116.4,39.85,31
116.42,39.85,67
116.61,39.86,7
116.62,39.86,4
116.49000000000001,39.910000000000004,251
116.5,39.86,7
116.5,39.87,15
116.63,39.92,24
116.64,39.92,7
116.68,39.97,1
116.47,39.92,177
116.48,39.93,65
116.36,39.83,37
116.31,39.83,22
116.34,39.87,10
116.58,39.97,17
116.58,39.96,8
116.60000000000001,39.9,76
116.41,39.83,16
116.32000000000001,39.75,14
116.28,40.09,11
116.35000000000001,39.83,17
116.39,39.83,30
116.4,39.83,14
116.55,39.76,8
116.29,39.980000000000004,11
116.46000000000001,39.89,213
116.43,39.78,7
116.43,39.800000000000004,28
116.43,39.85,75
116.31,39.9,5
116.27,39.9,73
116.47,39.87,175
116.59,39.85,1
116.56,39.9,43
116.24000000000001,39.96,2
116.43,39.92,56
116.45,39.86,203
116.46000000000001,39.86,111
116.59,39.92,122
116.48,39.980000000000004,240
116.5,39.99,50
116.41,40.050000000000004,39
116.4,40.050000000000004,3
116.32000000000001,40.03,4
116.26,39.99,2
116.27,39.99,1
116.42,39.980000000000004,94
116.41,39.980000000000004,100
116.54,39.82,8
116.48,39.96,57
116.44,39.96,85
116.45,39.96,102
116.36,39.95,19
116.76,39.93,4
116.77,39.93,2
116.53,39.97,8
116.49000000000001,39.97,89
116.42,39.95,39
116.41,39.95,35
116.46000000000001,40.03,1
116.47,40.01,4
116.46000000000001,40.01,8
116.33,40.06,4
116.48,39.95,25
116.49000000000001,39.95,88
116.44,39.800000000000004,56
116.41,39.96,186
116.4,39.96,247
116.51,39.92,256
116.16,39.71,8
116.44,39.97,147
116.67,39.87,23
116.67,39.88,28
116.46000000000001,39.92,213
116.46000000000001,39.910000000000004,139
116.38,39.96,159
116.66,39.87,12
116.61,39.9,29
116.21000000000001,39.92,3
116.21000000000001,39.910000000000004,5
116.43,39.9,44
116.51,40.0,4
116.72,39.85,7
116.73,39.85,1
116.77,39.84,1
116.77,39.83,1
116.29,39.82,72
116.33,39.96,16
116.46000000000001,39.93,239
116.52,39.910000000000004,69
116.48,39.75,26
116.5,39.68,3
116.45,39.74,2
116.45,39.75,4
116.4,39.97,99
116.41,39.97,60
116.42,39.97,51
116.46000000000001,39.9,225
116.45,39.89,73
116.54,39.89,30
116.4,40.0,27
116.49000000000001,39.99,32
116.48,39.79,21
116.41,39.99,18
116.60000000000001,39.92,160
116.5,39.96,31
116.54,39.93,36
116.46000000000001,39.96,62
116.4,40.04,18
115.98,40.45,11
115.97,40.45,17
116.45,39.97,65
