lng,lat,count
116.41,39.96,697
116.39,39.96,135
116.41,39.980000000000004,289
116.4,39.980000000000004,127
116.46000000000001,39.88,663
116.47,39.88,269
116.42,39.96,246
116.43,39.96,228
116.44,39.96,457
116.46000000000001,39.89,788
116.46000000000001,39.9,1307
116.45,39.9,794
116.43,39.94,216
116.4,39.99,621
116.41,39.99,304
116.45,39.95,333
116.46000000000001,39.95,276
116.45,39.93,149
116.44,39.94,366
116.45,39.94,134
116.47,39.910000000000004,839
116.5,39.9,125
116.49000000000001,39.9,357
116.48,39.9,275
116.37,39.85,209
116.44,39.85,160
116.43,39.85,364
116.27,39.92,60
116.27,39.93,68
116.43,39.83,61
116.42,39.85,566
116.4,39.96,259
116.43,39.97,80
116.72,39.85,12
116.71000000000001,39.85,8
116.41,40.07,141
116.37,40.07,16
116.51,39.94,58
116.47,39.92,222
116.12,39.7,11
116.10000000000001,39.7,8
116.5,39.93,376
116.46000000000001,39.910000000000004,649
116.67,39.88,71
116.66,39.88,200
116.47,39.89,324
116.62,39.89,8
116.62,39.9,34
116.63,39.89,67
116.4,40.02,25
116.41,40.02,200
116.41,40.050000000000004,212
116.37,39.9,135
116.69,39.86,42
116.34,40.06,31
116.41,40.06,190
116.68,39.92,10
116.57000000000001,39.88,4
116.36,39.83,73
116.4,39.83,58
116.42,40.06,33
116.41,40.08,62
116.48,39.980000000000004,276
116.49000000000001,39.980000000000004,77
116.49000000000001,39.97,103
116.52,39.910000000000004,130
116.51,39.9,91
116.51,39.910000000000004,204
116.38,39.83,100
116.46000000000001,39.93,630
116.53,39.96,62
116.54,39.96,33
116.54,39.97,19
116.36,39.84,80
116.36,39.85,104
116.45,39.96,344
116.14,39.730000000000004,63
116.37,39.84,95
116.33,39.74,65
116.33,39.75,39
116.34,39.74,29
116.34,39.730000000000004,32
116.54,39.92,30
116.57000000000001,39.9,63
116.25,39.86,17
116.29,39.81,44
116.49000000000001,39.95,155
116.34,39.9,51
116.38,39.97,91
116.48,39.96,161
116.41,40.0,257
116.61,39.92,90
116.60000000000001,39.92,101
116.2,39.81,23
116.2,39.82,33
116.34,39.81,10
116.34,39.82,64
116.34,39.83,43
116.5,39.910000000000004,250
116.49000000000001,39.910000000000004,504
116.17,39.92,33
116.19,39.9,3
116.42,39.99,94
116.26,40.03,21
116.25,40.03,1
116.45,39.88,241
116.47,39.97,114
116.45,39.97,37
116.32000000000001,40.050000000000004,151
116.33,40.06,25
116.31,40.08,8
116.46000000000001,39.92,849
116.54,39.93,60
116.57000000000001,39.94,3
116.58,39.95,13
116.4,39.85,205
116.3,39.86,131
116.4,40.12,2
116.41,40.12,11
116.48,39.92,304
116.33,39.97,99
116.31,39.88,109
116.54,39.89,32
116.53,39.89,38
116.43,39.93,183
116.42,39.94,131
116.42,39.93,41
116.35000000000001,40.06,28
116.33,39.84,90
116.32000000000001,39.84,40
116.32000000000001,39.85,31
116.42,39.910000000000004,46
116.49000000000001,39.96,223
116.51,39.87,21
116.5,39.87,71
116.48,39.88,182
116.43,39.89,142
116.33,40.03,37
116.32000000000001,40.03,86
116.37,39.97,43
116.36,39.97,39
116.37,39.96,99
116.33,39.96,74
116.29,39.82,99
116.31,39.89,134
116.31,39.9,49
116.47,39.93,107
116.41,40.03,367
116.29,39.85,68
116.5,40.0,40
116.52,40.02,1
117.10000000000001,40.14,7
116.23,39.89,15
116.22,39.89,15
116.31,39.910000000000004,57
116.37,39.83,110
116.51,39.95,19
116.37,39.980000000000004,155
116.38,39.96,187
116.37,39.99,49
116.49000000000001,39.92,344
116.49000000000001,39.93,163
116.29,39.83,116
116.29,39.84,51
116.28,39.79,5
116.39,39.97,75
116.51,39.93,117
116.25,39.85,29
116.53,39.95,20
116.54,39.95,26
116.41,39.92,71
116.39,39.85,247
116.47,39.9,996
116.36,39.980000000000004,75
116.44,39.95,164
116.52,39.9,89
116.46000000000001,39.94,399
116.5,39.99,19
116.4,40.04,70
116.41,40.04,206
116.52,39.89,29
116.66,39.86,39
116.45,39.910000000000004,770
116.22,39.87,6
116.46000000000001,40.0,97
116.47,39.99,120
116.48,39.910000000000004,421
116.48,39.94,35
116.45,39.800000000000004,75
116.34,39.75,33
116.3,39.980000000000004,60
116.51,40.0,12
116.51,40.01,7
116.57000000000001,39.95,40
116.47,39.800000000000004,100
116.5,39.84,16
116.29,39.93,18
116.3,39.93,27
116.31,39.93,60
116.32000000000001,39.980000000000004,47
116.31,39.980000000000004,152
116.31,39.97,87
116.36,39.93,31
116.27,40.13,3
116.41,39.89,231
116.45,39.89,234
116.48,39.99,132
116.34,39.77,43
116.34,39.76,33
116.4,39.82,1
116.41,39.85,227
116.5,39.92,682
116.54,39.75,61
116.3,39.99,12
116.42,39.86,105
116.47,39.85,38
116.42,39.84,212
116.65,39.88,55
116.65,39.89,28
116.16,39.730000000000004,7
116.17,39.74,5
116.17,39.730000000000004,5
116.42,39.980000000000004,97
116.44,39.89,96
116.4,39.86,60
116.5,39.94,34
116.33,39.980000000000004,91
116.24000000000001,40.04,5
116.33,40.04,72
116.43,40.03,30
116.42,40.03,70
116.44,40.03,24
116.53,39.94,37
116.18,39.92,16
116.61,40.04,4
116.61,40.03,1
116.39,39.78,17
116.52,39.92,145
116.32000000000001,40.02,19
116.5,39.95,57
116.31,40.07,58
116.38,39.85,133
116.67,39.87,50
116.65,39.83,14
116.68,39.86,33
116.4,40.0,318
116.64,39.92,35
116.54,39.88,25
116.55,39.95,76
116.42,39.87,44
116.42,39.88,81
116.60000000000001,39.89,40
116.28,40.01,17
116.37,39.72,27
116.16,39.81,6
116.28,39.83,205
116.58,39.9,12
116.59,39.9,44
116.59,39.910000000000004,57
116.26,39.89,16
116.25,39.88,10
116.54,39.910000000000004,84
116.55,39.910000000000004,85
116.45,39.92,506
116.43,39.92,262
116.44,39.88,84
116.47,40.0,67
116.48,39.93,86
116.48,39.89,351
116.54,39.87,14
116.35000000000001,39.77,1
116.38,40.17,36
116.39,40.17,16
116.27,39.89,30
116.12,39.81,2
116.09,39.800000000000004,1
116.11,39.81,1
116.31,39.82,55
116.32000000000001,39.82,4
116.36,40.01,27
116.29,40.1,25
116.29,40.09,28
116.57000000000001,39.800000000000004,9
116.38,39.84,94
116.47,39.84,38
116.47,39.83,114
116.36,39.800000000000004,16
116.37,39.800000000000004,31
116.42,39.97,92
116.43,39.87,28
116.44,39.87,58
116.45,39.87,330
116.44,39.910000000000004,55
116.44,39.92,197
116.46000000000001,39.87,725
116.45,39.86,267
116.27,39.86,32
116.27,39.84,24
116.28,39.85,316
116.42,39.78,126
116.47,39.87,162
116.47,39.86,133
116.52,39.79,15
116.52,39.800000000000004,6
116.31,39.86,126
116.32000000000001,39.87,15
116.32000000000001,39.86,14
116.33,39.87,28
116.59,39.86,17
116.54,39.86,32
116.53,39.86,46
116.34,39.94,18
116.48,40.160000000000004,2
116.33,39.800000000000004,17
116.32000000000001,39.79,12
116.33,39.79,37
116.34,39.96,49
116.34,40.03,73
116.68,39.87,40
116.67,39.86,15
116.36,39.86,129
116.35000000000001,39.86,33
116.64,39.83,21
116.28,40.11,23
116.35000000000001,39.93,59
116.48,39.97,345
116.47,39.71,2
116.65,39.980000000000004,3
116.48,39.86,120
116.43,39.9,166
116.28,40.160000000000004,2
116.31,40.160000000000004,3
116.63,40.32,5
116.59,39.82,3
116.69,39.77,2
116.34,39.95,43
116.29,39.89,14
116.29,39.88,13
116.69,39.910000000000004,34
116.68,39.910000000000004,10
116.64,39.9,28
116.14,39.9,1
116.12,39.92,6
116.33,39.88,173
116.32000000000001,39.88,168
116.43,39.95,78
116.41,39.87,15
116.41,39.97,155
116.44,39.93,105
116.07000000000001,39.64,4
115.98,39.67,1
115.97,39.67,1
115.98,39.660000000000004,1
116.45,39.82,39
116.46000000000001,39.82,21
116.34,40.13,1
116.39,39.94,89
116.37,39.95,16
116.41,39.9,205
116.41,39.910000000000004,202
116.31,39.95,17
116.63,39.910000000000004,16
116.62,39.910000000000004,8
116.42,39.89,121
116.42,39.9,85
116.47,39.96,80
116.3,39.82,76
116.42,39.92,35
116.36,39.88,76
116.59,39.92,113
116.32000000000001,39.97,17
116.35000000000001,39.96,17
116.36,39.96,50
116.32000000000001,39.89,121
116.3,39.96,70
116.34,39.88,105
116.2,39.910000000000004,6
116.22,39.88,7
116.22,39.9,14
116.32000000000001,39.92,27
116.34,39.89,63
116.39,39.87,16
116.39,39.88,12
116.4,39.79,2
116.66,39.95,1
116.67,39.95,3
116.65,39.94,7
116.22,39.84,95
116.23,39.85,86
116.22,39.85,18
116.38,39.980000000000004,131
116.34,39.72,49
116.29,39.86,122
116.05,39.72,1
116.44,39.9,426
116.3,39.97,70
116.41,39.83,49
116.45,39.83,37
116.46000000000001,39.83,38
116.48,39.85,80
116.49000000000001,39.86,19
116.33,39.730000000000004,82
116.22,40.18,5
116.48,39.95,121
116.54,40.24,4
116.53,40.24,2
116.32000000000001,39.72,1
116.31,39.72,1
116.29,39.72,3
116.35000000000001,39.78,4
116.43,39.800000000000004,21
116.44,39.800000000000004,25
116.35000000000001,39.9,69
116.26,39.9,36
116.39,39.980000000000004,29
116.3,40.08,47
116.26,40.13,28
116.26,40.12,49
116.4,39.800000000000004,16
116.51,39.88,21
116.16,39.92,33
116.16,39.93,10
116.4,39.97,95
116.41,39.88,32
116.37,39.93,12
116.32000000000001,39.9,35
116.17,39.72,4
116.43,39.910000000000004,134
116.63,39.88,23
116.32000000000001,40.07,28
116.36,40.03,1
116.43,39.86,98
116.29,39.910000000000004,22
116.48,39.87,132
116.41,39.94,141
116.57000000000001,39.910000000000004,47
116.58,39.910000000000004,92
116.53,39.81,8
116.57000000000001,39.81,4
116.56,39.82,3
116.57000000000001,39.87,18
116.58,39.87,6
116.28,39.86,147
116.35000000000001,39.82,10
116.35000000000001,39.83,98
116.28,39.910000000000004,7
116.35000000000001,39.95,31
116.33,39.89,77
116.3,39.83,66
116.31,39.83,73
116.33,39.93,7
116.32000000000001,40.06,27
116.14,40.230000000000004,1
116.5,39.96,60
116.5,39.97,66
116.3,40.04,19
116.32000000000001,40.04,33
116.31,40.050000000000004,19
116.41,39.93,107
116.28,40.09,13
116.28,40.1,22
116.55,39.86,13
116.4,40.01,27
116.32000000000001,39.730000000000004,41
116.55,39.94,46
116.33,40.050000000000004,46
116.36,40.0,46
116.46000000000001,39.97,121
116.51,39.92,250
116.48,39.84,61
116.4,39.910000000000004,18
116.39,39.84,52
116.43,40.08,10
116.43,40.02,18
116.54,39.76,23
116.36,39.87,44
116.67,40.01,2
116.49000000000001,39.89,225
116.49000000000001,39.88,16
116.5,40.01,11
116.41,39.78,106
116.32000000000001,40.08,4
116.36,39.910000000000004,29
116.36,39.9,31
116.44,39.83,66
116.4,39.92,12
116.60000000000001,39.83,1
116.27,39.88,57
116.5,40.160000000000004,13
116.52,40.15,2
116.38,39.93,13
116.35000000000001,40.0,13
116.3,39.89,31
116.28,39.84,174
116.58,39.89,21
116.36,39.76,1
116.36,39.81,7
116.73,39.89,27
116.39,39.9,66
116.39,39.89,51
116.55,39.9,68
116.56,39.9,75
116.4,40.1,8
116.41,40.1,42
116.54,39.730000000000004,17
116.54,39.72,7
116.47,39.82,5
116.28,40.04,8
116.37,39.87,34
116.34,39.93,30
116.5,39.86,81
116.25,39.89,9
116.28,39.87,49
116.27,39.87,59
116.44,39.84,150
116.46000000000001,39.86,253
116.58,39.92,63
116.57000000000001,39.92,25
116.56,40.0,39
116.55,39.97,11
116.56,39.97,6
116.27,40.11,32
116.24000000000001,40.08,4
116.5,39.85,33
116.57000000000001,39.980000000000004,10
116.58,39.980000000000004,15
116.56,39.81,5
116.55,39.81,5
116.53,39.92,50
116.48,39.78,28
116.49000000000001,39.78,31
116.31,40.06,31
116.4,39.78,34
116.52,39.87,18
116.52,39.93,16
116.52,39.94,25
116.51,39.86,50
116.37,39.79,56
116.34,40.09,8
116.24000000000001,40.160000000000004,1
116.28,39.9,12
116.35000000000001,39.72,2
116.36,39.95,1
116.49000000000001,39.94,19
116.53,40.0,21
116.53,39.99,6
116.39,39.910000000000004,29
