lng,lat,count
116.44,39.96,197
116.45,39.96,233
116.46000000000001,39.93,390
116.44,39.95,78
116.45,39.95,191
116.43,39.980000000000004,205
116.44,39.980000000000004,58
116.46000000000001,39.980000000000004,31
116.44,39.99,15
116.46000000000001,39.910000000000004,217
116.45,39.93,162
116.45,39.94,144
116.44,39.94,339
116.43,39.94,109
116.38,39.99,177
116.47,39.85,91
116.44,39.85,83
116.43,39.85,73
116.46000000000001,39.87,526
116.34,39.96,30
116.31,39.97,28
116.46000000000001,39.89,365
116.41,39.980000000000004,175
116.49000000000001,39.82,4
116.45,39.83,25
116.5,39.82,16
116.42,39.94,65
116.37,40.11,7
116.49000000000001,39.87,58
116.48,39.87,177
116.48,39.88,78
116.49000000000001,39.910000000000004,254
116.48,39.910000000000004,248
116.33,39.96,59
116.48,39.9,118
116.5,39.9,21
116.5,39.910000000000004,176
116.41,39.97,41
116.41,39.96,156
116.4,39.96,128
116.4,39.99,431
116.41,39.99,187
116.43,39.93,96
116.3,39.88,28
116.46000000000001,39.95,208
116.45,39.910000000000004,182
116.45,39.9,277
116.46000000000001,39.9,298
116.48,39.93,114
116.61,39.88,3
116.24000000000001,39.69,5
116.45,39.88,192
116.45,39.89,111
116.46000000000001,39.88,371
116.49000000000001,39.9,96
116.39,39.85,121
116.49000000000001,39.84,16
116.44,39.76,43
116.4,39.85,71
116.52,39.79,12
116.51,39.79,21
116.42,39.84,133
116.66,40.47,2
116.42,39.85,154
116.47,39.93,130
116.48,39.92,250
116.26,40.12,13
116.26,40.11,4
116.38,39.96,104
116.33,40.06,9
116.34,40.06,4
116.31,40.07,21
116.32000000000001,40.06,21
116.32000000000001,40.07,4
116.48,39.89,176
116.36,39.96,40
116.35000000000001,39.95,42
116.35000000000001,39.94,39
116.5,39.96,84
116.5,39.97,8
116.45,39.87,595
116.3,39.89,31
116.31,39.89,46
116.14,39.730000000000004,36
116.3,40.11,25
116.34,39.82,12
116.34,39.81,8
116.51,39.92,138
116.19,39.9,15
116.33,39.71,3
116.27,39.6,2
116.5,39.92,409
116.37,39.95,30
116.28,39.82,20
116.27,39.81,3
116.27,39.82,8
116.5,39.88,6
116.49000000000001,39.89,35
